timestamp,open_price,high_price,low_price,close_price,volume,money
1686015000,6.15,6.15,6.15,6.15,0,0.0
1686015001,6.45,6.45,6.44,6.44,17600,113464.0
1686015002,6.44,6.45,6.44,6.45,35300,227463.0
1686015003,6.45,6.45,6.44,6.44,6100,39305.0
1686015004,6.45,6.45,6.45,6.45,400,2580.0
1686015005,6.45,6.45,6.45,6.45,400,2580.0
1686015006,6.44,6.45,6.44,6.44,1500,9664.0
1686015007,6.44,6.45,6.44,6.45,1100,7088.0
1686015008,6.44,6.45,6.44,6.44,14800,95324.0
1686015009,6.44,6.44,6.44,6.44,0,0.0
1686015010,6.44,6.44,6.44,6.44,0,0.0
1686015011,6.44,6.44,6.44,6.44,0,0.0
1686015012,6.44,6.44,6.44,6.44,0,0.0
1686015013,6.44,6.44,6.44,6.44,0,0.0
1686015014,6.44,6.44,6.44,6.44,100,644.0
1686015015,6.44,6.44,6.44,6.44,0,0.0
1686015016,6.44,6.44,6.44,6.44,0,0.0
1686015017,6.43,6.43,6.43,6.43,300,1929.0
1686015018,6.43,6.43,6.43,6.43,0,0.0
1686015019,6.43,6.43,6.43,6.43,0,0.0
1686015020,6.43,6.43,6.43,6.43,0,0.0
1686015021,6.43,6.43,6.43,6.43,0,0.0
1686015022,6.43,6.43,6.43,6.43,0,0.0
1686015023,6.43,6.44,6.43,6.44,2100,13504.0
1686015024,6.44,6.44,6.44,6.44,0,0.0
1686015025,6.44,6.44,6.44,6.44,0,0.0
1686015026,6.43,6.43,6.43,6.43,5600,36008.0
1686015027,6.43,6.43,6.43,6.43,0,0.0
1686015028,6.43,6.43,6.43,6.43,2900,18647.0
1686015029,6.43,6.43,6.43,6.43,0,0.0
1686015030,6.43,6.43,6.43,6.43,600,3858.0
1686015031,6.43,6.44,6.43,6.44,1200,7722.0
1686015032,6.44,6.44,6.44,6.44,0,0.0
1686015033,6.43,6.44,6.43,6.44,3700,23796.0
1686015034,6.43,6.44,6.43,6.44,5500,35419.0
1686015035,6.44,6.44,6.44,6.44,0,0.0
1686015036,6.44,6.44,6.43,6.43,1600,10294.0
1686015037,6.44,6.44,6.44,6.44,2000,12880.0
1686015038,6.44,6.44,6.44,6.44,0,0.0
1686015039,6.44,6.44,6.44,6.44,100,644.0
1686015040,6.44,6.44,6.44,6.44,0,0.0
1686015041,6.44,6.44,6.44,6.44,5800,37352.0
1686015042,6.44,6.44,6.44,6.44,0,0.0
1686015043,6.44,6.44,6.44,6.44,0,0.0
1686015044,6.44,6.44,6.44,6.44,3400,21896.0
1686015045,6.44,6.44,6.44,6.44,0,0.0
1686015046,6.44,6.44,6.44,6.44,0,0.0
1686015047,6.44,6.44,6.44,6.44,3400,21896.0
1686015048,6.44,6.44,6.44,6.44,0,0.0
1686015049,6.45,6.45,6.45,6.45,5400,34830.0
1686015050,6.44,6.44,6.44,6.44,2800,18032.0
1686015051,6.44,6.44,6.44,6.44,0,0.0
1686015052,6.44,6.44,6.44,6.44,0,0.0
1686015053,6.44,6.44,6.44,6.44,3300,21252.0
1686015054,6.44,6.44,6.44,6.44,0,0.0
1686015055,6.44,6.44,6.44,6.44,100,644.0
1686015056,6.44,6.44,6.44,6.44,0,0.0
1686015057,6.44,6.44,6.44,6.44,100,644.0
1686015058,6.44,6.44,6.44,6.44,0,0.0
1686015059,6.44,6.44,6.44,6.44,0,0.0
1686015060,6.44,6.44,6.44,6.44,0,0.0
1686015061,6.44,6.44,6.44,6.44,200,1288.0
1686015062,6.44,6.44,6.44,6.44,0,0.0
1686015063,6.44,6.44,6.44,6.44,0,0.0
1686015064,6.44,6.44,6.44,6.44,12900,83076.0
1686015065,6.44,6.44,6.44,6.44,0,0.0
1686015066,6.44,6.44,6.44,6.44,1500,9660.0
1686015067,6.44,6.44,6.44,6.44,100,644.0
1686015068,6.44,6.44,6.44,6.44,0,0.0
1686015069,6.44,6.44,6.44,6.44,0,0.0
1686015070,6.44,6.44,6.44,6.44,0,0.0
1686015071,6.44,6.44,6.44,6.44,3400,21896.0
1686015072,6.44,6.44,6.44,6.44,7200,46368.0
1686015073,6.44,6.44,6.44,6.44,0,0.0
1686015074,6.45,6.45,6.45,6.45,4100,26445.0
1686015075,6.45,6.45,6.45,6.45,3300,21285.0
1686015076,6.45,6.45,6.45,6.45,0,0.0
1686015077,6.45,6.45,6.45,6.45,0,0.0
1686015078,6.45,6.45,6.45,6.45,0,0.0
1686015079,6.45,6.45,6.45,6.45,1800,11610.0
1686015080,6.45,6.45,6.45,6.45,2300,14835.0
1686015081,6.45,6.45,6.45,6.45,0,0.0
1686015082,6.45,6.45,6.45,6.45,2300,14835.0
1686015083,6.45,6.45,6.45,6.45,1600,10320.0
1686015084,6.45,6.45,6.45,6.45,0,0.0
1686015085,6.45,6.45,6.45,6.45,100,645.0
1686015086,6.45,6.45,6.45,6.45,0,0.0
