SecurityID,TransactTime,OrderNo,Price,Balance,OrderBSFlag,OrdType,OrderIndex,ChannelNo,BizIndex
600000,20230228091501180,11693,7.880,2000,S,A,37400,5,42971
600000,20230228091501180,11777,7.150,1000,B,A,37401,5,42972
600000,20230228091501250,12449,7.440,200,S,A,37402,5,42973
600000,20230228091501250,12733,7.470,2500,S,A,37403,5,42974
600000,20230228091501250,12766,7.000,2000,B,A,37404,5,42975
600000,20230228091501250,12824,7.080,4900,B,A,37405,5,42976
600000,20230228091501250,13127,7.500,300,S,A,37406,5,42977
600000,20230228091501250,13306,7.360,5000,S,A,37407,5,42978
600000,20230228091501250,13323,7.500,400,S,A,37408,5,42979
600000,20230228091501250,13401,7.430,300,S,A,37409,5,42980
600000,20230228091501250,13410,7.630,200,S,A,37410,5,42981
600000,20230228091501250,13423,7.830,200,S,A,37411,5,42982
600000,20230228091501250,13482,7.780,300,S,A,37412,5,42983
600000,20230228091501250,13552,7.880,30000,S,A,37413,5,42984
600000,20230228091501250,13775,7.120,100,B,A,37414,5,42985
600000,20230228091501370,13780,7.050,100,B,A,37415,5,42986
600000,20230228091501370,14220,7.030,200,B,A,37416,5,42987
600000,20230228091501370,14432,6.830,300,B,A,37417,5,42988
600000,20230228091501370,14971,7.420,1400,S,A,37418,5,42989
600000,20230228091501370,15074,7.400,1000,S,A,37419,5,42990
600000,20230228091501370,15246,7.200,3000,S,A,37420,5,42991
600000,20230228091501370,15299,7.220,3000,S,A,37421,5,42992
600000,20230228091501370,15348,7.240,3000,S,A,37422,5,42993
600000,20230228091501370,15425,7.300,6000,S,A,37423,5,42994
600000,20230228091501490,15751,7.460,200,S,A,37424,5,42995
600000,20230228091501490,16277,7.380,6000,S,A,37425,5,42996
600000,20230228091501490,16617,7.540,200,S,A,37426,5,42997
600000,20230228091501590,18209,7.340,300,S,A,37427,5,42998
600000,20230228091501590,18299,7.200,4500,S,A,37428,5,42999
600000,20230228091501590,18432,7.870,1000,S,A,37429,5,43000
600000,20230228091501590,18472,7.300,1000,S,A,37430,5,43001
600000,20230228091501590,18556,7.250,10000,S,A,37431,5,43002
600000,20230228091501590,18576,7.860,600,S,A,37432,5,43003
600000,20230228091501590,18743,7.880,2000,S,A,37433,5,43004
600000,20230228091501590,18805,7.880,1100,S,A,37434,5,43005
600000,20230228091501590,18879,7.030,600,B,A,37435,5,43006
600000,20230228091501590,19013,7.560,500,S,A,37436,5,43007
600000,20230228091501590,19083,7.110,200,B,A,37437,5,43008
600000,20230228091501590,19398,7.160,500,S,A,37438,5,43009
