timestamp,open_price,high_price,low_price,close_price,volume,money
1683509400,88.21,88.21,88.21,88.21,13600,1199656.0
1683509401,88.21,88.38,88.21,88.38,3749,331043.29000000004
1683509402,88.47,88.47,88.23,88.23,700,61785.0
1683509403,88.38,88.48,88.38,88.38,1600,141456.0
1683509404,88.38,88.38,88.38,88.38,700,61866.0
1683509405,88.31,88.31,88.23,88.23,700,61802.0
1683509406,88.23,88.37,88.21,88.37,11000,970435.0
1683509407,88.21,88.37,88.21,88.21,1700,150085.0
1683509408,88.37,88.5,88.21,88.21,3751,331845.70999999996
1683509409,88.21,88.23,88.21,88.23,249,21968.290000000037
1683509410,88.23,88.25,88.23,88.25,300,26473.0
1683509411,88.23,88.23,88.21,88.21,1000,88218.0
1683509412,88.25,88.46,88.2,88.2,2151,189922.70999999996
1683509413,88.16,88.16,88.16,88.16,100,8816.0
1683509414,88.16,88.16,88.16,88.16,700,61712.0
1683509415,88.16,88.16,88.16,88.16,500,44080.0
1683509416,88.16,88.19,88.16,88.19,2000,176359.5299999998
1683509417,88.19,88.3,88.16,88.3,3549,313151.31000000006
1683509418,88.37,88.45,88.37,88.45,2300,203267.0
1683509419,88.46,88.46,88.46,88.46,100,8846.0
1683509420,88.37,88.41,88.29,88.29,3900,344556.5099999998
1683509421,88.29,88.29,88.23,88.23,1400,123585.05999999959
1683509422,88.24,88.24,88.24,88.24,300,26472.0
1683509423,88.46,88.48,88.21,88.21,1100,97126.02000000048
1683509424,88.27,88.27,88.21,88.21,2400,211716.0
1683509425,88.24,88.24,88.24,88.24,400,35296.0
1683509426,88.18,88.24,88.18,88.24,500,44096.0
1683509427,88.24,88.24,88.24,88.24,0,0.0
1683509428,88.24,88.24,88.0,88.0,4200,369978.0
1683509429,88.2,88.2,88.19,88.19,200,17639.0
1683509430,88.17,88.18,88.15,88.16,2800,246858.0
1683509431,88.16,88.16,88.16,88.16,0,0.0
1683509432,88.16,88.29,88.14,88.14,3300,291053.0
1683509433,88.2,88.37,88.13,88.13,2500,220615.0
1683509434,88.13,88.13,88.13,88.13,0,0.0
1683509435,88.13,88.13,88.13,88.13,0,0.0
1683509436,88.1,88.1,88.01,88.01,2900,255319.0
