time,last_price,volume,money,bid1_price,bid2_price,bid3_price,bid4_price,bid5_price,bid1_volume,bid2_volume,bid3_volume,bid4_volume,bid5_volume,ask1_price,ask2_price,ask3_price,ask4_price,ask5_price,ask1_volume,ask2_volume,ask3_volume,ask4_volume,ask5_volume
85603000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
85703000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
85803000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
85903000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90003000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90103000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90203000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90303000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90403000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90503000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90603000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90703000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90803000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90903000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91003000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91103000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91203000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91303000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91400000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91509000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91510000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11000,6700,0,0,0,15.8,0.0,0.0,0.0,0.0,11000,0,0,0,0
91555000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11000,10600,0,0,0,15.8,0.0,0.0,0.0,0.0,11000,0,0,0,0
91558000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,10500,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91609000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,10500,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91704000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,11000,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91709000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,11000,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91722000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,40600,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91731000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,44600,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91734000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,44100,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91746000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,44300,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91758000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,11100,46300,0,0,0,15.8,0.0,0.0,0.0,0.0,11100,0,0,0,0
91810000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,17100,40300,0,0,0,15.8,0.0,0.0,0.0,0.0,17100,0,0,0,0
91811000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,17100,40300,0,0,0,15.8,0.0,0.0,0.0,0.0,17100,0,0,0,0
91813000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,17100,38100,0,0,0,15.8,0.0,0.0,0.0,0.0,17100,0,0,0,0
91828000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,17700,37500,0,0,0,15.8,0.0,0.0,0.0,0.0,17700,0,0,0,0
91831000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,17700,40300,0,0,0,15.8,0.0,0.0,0.0,0.0,17700,0,0,0,0
91849000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,17700,70000,0,0,0,15.8,0.0,0.0,0.0,0.0,17700,0,0,0,0
91901000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,6700,81000,0,0,0,15.8,0.0,0.0,0.0,0.0,6700,0,0,0,0
91904000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,6700,79900,0,0,0,15.8,0.0,0.0,0.0,0.0,6700,0,0,0,0
91907000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,8000,78600,0,0,0,15.8,0.0,0.0,0.0,0.0,8000,0,0,0,0
91910000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,8000,78800,0,0,0,15.8,0.0,0.0,0.0,0.0,8000,0,0,0,0
91912000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,8000,78800,0,0,0,15.8,0.0,0.0,0.0,0.0,8000,0,0,0,0
91919000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,8000,79000,0,0,0,15.8,0.0,0.0,0.0,0.0,8000,0,0,0,0
91958000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,9300,77700,0,0,0,15.8,0.0,0.0,0.0,0.0,9300,0,0,0,0
92001000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,9500,77900,0,0,0,15.8,0.0,0.0,0.0,0.0,9500,0,0,0,0
92004000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,9500,80000,0,0,0,15.8,0.0,0.0,0.0,0.0,9500,0,0,0,0
92007000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,9500,80500,0,0,0,15.8,0.0,0.0,0.0,0.0,9500,0,0,0,0
92012000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,9500,80500,0,0,0,15.8,0.0,0.0,0.0,0.0,9500,0,0,0,0
92016000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,9500,80600,0,0,0,15.8,0.0,0.0,0.0,0.0,9500,0,0,0,0
92025000,0.0,0,0.0,15.8,0.0,0.0,0.0,0.0,9500,81600,0,0,0,15.8,0.0,0.0,0.0,0.0,9500,0,0,0,0
92034000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,12700,0,0,0,0,15.92,0.0,0.0,0.0,0.0,12700,100,0,0,0
92037000,0.0,0,0.0,15.98,0.0,0.0,0.0,0.0,13100,0,0,0,0,15.98,0.0,0.0,0.0,0.0,13100,200,0,0,0
92040000,0.0,0,0.0,15.98,0.0,0.0,0.0,0.0,13300,0,0,0,0,15.98,0.0,0.0,0.0,0.0,13300,0,0,0,0
92043000,0.0,0,0.0,15.93,0.0,0.0,0.0,0.0,13300,100,0,0,0,15.93,0.0,0.0,0.0,0.0,13300,0,0,0,0
92058000,0.0,0,0.0,15.93,0.0,0.0,0.0,0.0,13400,0,0,0,0,15.93,0.0,0.0,0.0,0.0,13400,1400,0,0,0
92113000,0.0,0,0.0,15.93,0.0,0.0,0.0,0.0,13400,0,0,0,0,15.93,0.0,0.0,0.0,0.0,13400,1400,0,0,0
92140000,0.0,0,0.0,15.93,0.0,0.0,0.0,0.0,13400,0,0,0,0,15.93,0.0,0.0,0.0,0.0,13400,2100,0,0,0
92216000,0.0,0,0.0,15.93,0.0,0.0,0.0,0.0,13400,0,0,0,0,15.93,0.0,0.0,0.0,0.0,13400,2100,0,0,0
92222000,0.0,0,0.0,15.93,0.0,0.0,0.0,0.0,13900,0,0,0,0,15.93,0.0,0.0,0.0,0.0,13900,1600,0,0,0
92225000,0.0,0,0.0,15.93,0.0,0.0,0.0,0.0,14000,0,0,0,0,15.93,0.0,0.0,0.0,0.0,14000,1500,0,0,0
92228000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,14300,200,0,0,0,15.92,0.0,0.0,0.0,0.0,14300,0,0,0,0
92301000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,14500,0,0,0,0,15.92,0.0,0.0,0.0,0.0,14500,300,0,0,0
92304000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,14600,0,0,0,0,15.92,0.0,0.0,0.0,0.0,14600,200,0,0,0
92316000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,14600,0,0,0,0,15.92,0.0,0.0,0.0,0.0,14600,200,0,0,0
92319000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,14800,300,0,0,0,15.92,0.0,0.0,0.0,0.0,14800,0,0,0,0
92328000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,14800,400,0,0,0,15.92,0.0,0.0,0.0,0.0,14800,0,0,0,0
92331000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,14900,400,0,0,0,15.92,0.0,0.0,0.0,0.0,14900,0,0,0,0
92334000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,15000,300,0,0,0,15.92,0.0,0.0,0.0,0.0,15000,0,0,0,0
92337000,0.0,0,0.0,15.92,0.0,0.0,0.0,0.0,15100,400,0,0,0,15.92,0.0,0.0,0.0,0.0,15100,0,0,0,0
92407000,0.0,0,0.0,15.9,0.0,0.0,0.0,0.0,15800,0,0,0,0,15.9,0.0,0.0,0.0,0.0,15800,46100,0,0,0
92410000,0.0,0,0.0,15.9,0.0,0.0,0.0,0.0,15900,0,0,0,0,15.9,0.0,0.0,0.0,0.0,15900,46000,0,0,0
92413000,0.0,0,0.0,15.9,0.0,0.0,0.0,0.0,15900,0,0,0,0,15.9,0.0,0.0,0.0,0.0,15900,46500,0,0,0
92418000,0.0,0,0.0,15.9,0.0,0.0,0.0,0.0,15900,0,0,0,0,15.9,0.0,0.0,0.0,0.0,15900,46500,0,0,0
