preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
6.87,6.88,6.88,6.88,6.88,6.87,6.87,6.88,6.87,6.88,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,58000,85900,30800,5500,57800,43201,9500,42400,41800,7600,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,11800,2600,13300,33200,15300,6800,25000,67600,2500,7100,4,7,81,6,13,6,5,4,3,6,23,11,12,7,5,2,6,1,1,5,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,464.8484848484849,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,181,455900,6.8667887694669885,3130569.0,56,7086810.0,4,6400,6.8667887694669885,44014.0,0,-1,-1,32893.723713557425
6.88,6.87,6.87,6.87,6.87,6.87,6.87,6.88,6.87,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,58500,87400,30800,5500,57800,43201,9500,42400,41800,7600,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,29200,38000,6000,33200,15300,6800,25000,67600,2500,7100,4,7,82,6,13,6,5,4,3,7,23,11,12,7,5,2,6,1,1,5,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,649.4736842105264,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,189,466200,6.866864006864007,3201332.0,59,7096250.0,8,10300,6.870194174757281,70763.0,3,9440.0,3146.6666666666665,36741.27031225107
6.88,6.87,6.87,6.87,6.87,6.88,6.88,6.88,6.87,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,69200,87400,30800,6700,57800,44201,9500,42400,41900,7600,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,33700,38000,6200,33200,15300,6800,25000,67600,2500,7100,4,7,83,6,13,6,5,4,3,7,23,11,12,7,5,2,6,1,1,5,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,649.4736842105264,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,199,471600,6.8669698897370655,3238463.0,59,7096250.0,10,5400,6.8669698897370655,37131.0,0,-1,-1,37743.96666401147
6.88,6.87,6.87,6.87,6.87,6.87,6.87,6.88,6.87,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,72800,87400,35800,6700,57800,44201,9500,42400,41900,7600,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,9500,38000,6200,33200,15300,6800,25000,69100,2500,7100,4,7,83,6,13,6,5,4,3,7,24,11,12,7,5,2,6,1,1,5,8260.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1225.0,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,208,490400,6.8671757748776505,3367663.0,62,7137050.0,9,18800,6.872340425531915,129200.0,3,40800.0,13600.0,31583.37447227975
6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,71500,87400,35800,6700,57800,44201,9500,42400,41900,9600,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,9500,38000,6200,33200,15300,6800,25000,69100,2500,7100,4,7,83,6,13,6,5,4,3,7,24,11,12,7,5,2,6,1,1,5,8260.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1225.0,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,211,491700,6.867209680699614,3376607.0,62,7137050.0,3,1300,6.867209680699614,8944.0,0,-1,-1,35763.73625935956
6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,60600,87400,35800,6700,57800,44201,9500,42400,41900,10100,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,12400,39000,6200,33200,14800,6800,25000,69100,2500,7100,4,7,84,6,13,6,5,4,3,7,24,11,12,7,5,2,6,1,1,5,9182.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1225.0,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,216,502600,6.867351166532583,3451599.0,64,7157260.0,5,10900,6.88,74992.0,2,20210.0,10105.0,36057.33292177792
6.88,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.88,6.89,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,54000,81500,35800,6700,57800,44201,13900,45400,41900,10100,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6500,12400,40000,6200,33200,14800,6800,25000,69100,2500,4,7,84,6,13,6,5,4,3,7,24,11,12,7,5,2,6,1,1,5,9182.5,294123.3333333333,-1,-1,-1,-1,-1,-1,-1,-1,8.75,1225.0,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,224,509200,6.867765121759623,3497066.0,67,8039630.0,8,6600,6.888939393939394,45467.0,3,882370.0,294123.3333333333,33778.676716584356
6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,54000,92500,35800,6700,57800,44201,13900,47000,41900,10100,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,12700,12300,40000,6700,33200,14300,6800,25000,69100,2500,4,7,85,6,13,6,5,4,3,7,24,11,12,7,5,2,6,1,1,5,6121.666666666667,294123.3333333333,-1,-1,-1,-1,-1,-1,-1,-1,8.75,1225.0,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,226,509500,6.867765121759623,3499130.0,67,8039630.0,2,300,6.867765121759623,2064.0,0,-1,-1,35441.23944559503
6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.88,6.89,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,40800,80000,35800,6700,57800,44201,13900,47000,41900,10100,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,12200,12300,40000,6700,33200,14300,6800,25000,69100,2500,4,7,85,6,13,6,5,4,3,7,24,11,12,7,5,2,6,1,1,5,6121.666666666667,294123.3333333333,-1,-1,-1,-1,-1,-1,-1,-1,8.75,1225.0,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,232,522700,6.868320260187488,3590071.0,67,8039630.0,6,13200,6.868320260187488,90941.0,0,-1,-1,34171.42803090648
6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,36400,75600,35800,19400,57800,44201,13900,47000,41900,10100,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,15600,12300,40000,6700,33200,14300,6800,25000,71100,2500,4,7,86,6,13,6,5,4,3,7,24,11,12,7,5,2,6,1,1,5,6121.666666666667,294123.3333333333,-1,-1,-1,-1,-1,-1,-1,-1,8.75,1225.0,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,238,527100,6.868501233162588,3620387.0,67,8039630.0,6,4400,6.868501233162588,30316.0,0,-1,-1,32544.999203441133
