timestamp,open_price,high_price,low_price,close_price,volume,money
1688693400,6.67,6.67,6.67,6.67,1600,10672.0
1688693460,6.67,6.68,6.62,6.63,94200,625926.0
1688693520,6.63,6.64,6.62,6.64,40000,265198.0
1688693580,6.63,6.64,6.63,6.64,14000,92900.0
1688693640,6.64,6.65,6.63,6.64,44100,292944.0
1688693700,6.64,6.65,6.64,6.64,38000,252357.0
1688693760,6.64,6.65,6.64,6.64,59500,395143.0
1688693820,6.64,6.64,6.63,6.63,35600,236197.0
1688693880,6.63,6.64,6.63,6.63,104500,693186.0
1688693940,6.63,6.64,6.63,6.63,40100,265969.0
1688694000,6.63,6.64,6.63,6.64,43700,289840.0
1688694060,6.63,6.64,6.62,6.62,84100,557598.0
1688694120,6.63,6.63,6.62,6.62,22100,146360.0
1688694180,6.63,6.63,6.62,6.62,74300,492013.0
1688694240,6.63,6.63,6.62,6.63,16400,108682.0
1688694300,6.62,6.63,6.62,6.63,19500,129241.0
1688694360,6.63,6.63,6.62,6.63,39800,263736.0
1688694420,6.62,6.63,6.62,6.63,50000,331283.0
1688694480,6.63,6.64,6.63,6.64,18400,122041.0
1688694540,6.63,6.64,6.63,6.63,31800,210863.0
1688694600,6.63,6.64,6.62,6.62,139900,927483.0
1688694660,6.62,6.64,6.62,6.64,42100,279112.0
1688694720,6.64,6.65,6.63,6.65,27800,184588.0
1688694780,6.64,6.65,6.64,6.64,37300,247694.0
1688694840,6.65,6.65,6.64,6.64,31100,206672.0
1688694900,6.65,6.67,6.64,6.67,57900,385685.0
1688694960,6.66,6.67,6.66,6.66,45200,301168.0
1688695020,6.67,6.67,6.66,6.66,16000,106686.0
1688695080,6.66,6.67,6.66,6.67,41800,278407.0
1688695140,6.66,6.67,6.66,6.66,87000,579440.0
1688695200,6.66,6.67,6.66,6.67,25100,167202.0
1688695260,6.66,6.67,6.66,6.67,9800,65271.0
1688695320,6.67,6.68,6.67,6.67,154400,1030175.0
1688695380,6.68,6.68,6.67,6.68,23100,154215.0
1688695440,6.67,6.68,6.67,6.68,23200,154838.0
1688695500,6.67,6.68,6.66,6.67,84900,566330.0
1688695560,6.67,6.67,6.66,6.67,2900,19342.0
1688695620,6.66,6.67,6.66,6.67,6000,39982.0
1688695680,6.67,6.67,6.66,6.66,27700,184509.0
1688695740,6.66,6.67,6.66,6.67,88899,592188.3399999999
1688695800,6.67,6.67,6.66,6.66,28700,191298.0
1688695860,6.66,6.66,6.65,6.65,40200,267706.0
1688695920,6.66,6.66,6.65,6.65,22200,147746.0
1688695980,6.65,6.66,6.65,6.65,4600,30620.0
1688696040,6.65,6.66,6.65,6.66,5600,37248.0
1688696100,6.65,6.66,6.65,6.65,2800,18644.0
1688696160,6.65,6.66,6.65,6.66,35200,234096.0
1688696220,6.66,6.66,6.65,6.65,15800,105194.0
1688696280,6.65,6.66,6.65,6.66,15300,101772.0
1688696340,6.65,6.67,6.65,6.67,95500,636026.0
1688696400,6.66,6.67,6.66,6.67,4400,29340.0
1688696460,6.67,6.67,6.65,6.65,13100,87270.0
1688696520,6.66,6.66,6.65,6.65,3400,22620.0
1688696580,6.65,6.66,6.65,6.65,6400,42595.0
1688696640,6.65,6.66,6.65,6.65,9750,64846.5
1688696700,6.65,6.66,6.65,6.66,2400,15979.0
1688696760,6.65,6.66,6.65,6.65,3900,25941.0
1688696820,6.65,6.66,6.65,6.66,6400,42569.0
1688696880,6.66,6.66,6.65,6.65,3400,22615.0
1688696940,6.66,6.66,6.65,6.66,10600,70594.0
1688697000,6.66,6.66,6.65,6.66,14800,98562.0
1688697060,6.66,6.66,6.65,6.66,7720,51357.0
1688697120,6.66,6.66,6.65,6.66,4300,28609.0
1688697180,6.66,6.66,6.65,6.65,25700,170928.0
1688697240,6.65,6.65,6.64,6.65,18400,122339.0
1688697300,6.64,6.65,6.64,6.65,4200,27925.0
1688697360,6.64,6.65,6.64,6.65,4000,26562.0
1688697420,6.64,6.64,6.64,6.64,51900,344616.0
1688697480,6.64,6.65,6.64,6.65,19100,126851.0
1688697540,6.65,6.65,6.64,6.64,18200,120993.0
1688697600,6.64,6.65,6.64,6.64,17200,114244.0
1688697660,6.65,6.65,6.65,6.65,700,4655.0
1688697720,6.64,6.64,6.63,6.63,234700,1558307.0
1688697780,6.63,6.63,6.63,6.63,20200,133926.0
1688697840,6.63,6.64,6.63,6.64,61000,404764.0
1688697900,6.64,6.65,6.64,6.64,38000,252321.0
1688697960,6.63,6.64,6.63,6.64,5900,39175.0
1688698020,6.64,6.64,6.63,6.63,4700,31184.0
1688698080,6.63,6.64,6.63,6.64,2700,17908.0
1688698140,6.64,6.64,6.63,6.64,19600,130041.0
1688698200,6.64,6.64,6.64,6.64,500,3320.0
1688698260,6.63,6.64,6.63,6.64,4200,27880.0
1688698320,6.64,6.64,6.63,6.64,18900,125482.0
1688698380,6.64,6.64,6.63,6.63,10600,70374.0
1688698440,6.63,6.64,6.63,6.64,35500,235661.0
1688698500,6.64,6.65,6.64,6.64,16000,106245.0
1688698560,6.64,6.64,6.64,6.64,8500,56440.0
1688698620,6.64,6.64,6.64,6.64,3000,19920.0
1688698680,6.64,6.64,6.63,6.64,22600,150052.0
1688698740,6.64,6.65,6.64,6.64,2800,18600.0
1688698800,6.64,6.65,6.64,6.65,2800,18594.0
1688698860,6.65,6.65,6.64,6.64,5100,33885.0
1688698920,6.64,6.65,6.64,6.64,13000,86328.0
1688698980,6.65,6.65,6.65,6.65,1500,9975.0
1688699040,6.65,6.66,6.65,6.66,172990,1150500.5
1688699100,6.66,6.66,6.66,6.66,800,5328.0
1688699160,6.66,6.66,6.65,6.66,4800,31967.0
1688699220,6.66,6.66,6.66,6.66,3500,23310.0
1688699280,6.65,6.65,6.65,6.65,5600,37240.0
1688699340,6.66,6.66,6.66,6.66,1200,7992.0
1688699400,6.66,6.66,6.65,6.65,4800,31927.0
1688699460,6.66,6.66,6.65,6.66,7300,48611.0
1688699520,6.66,6.67,6.66,6.67,11700,77999.0
1688699580,6.67,6.67,6.66,6.67,25600,170714.0
1688699640,6.66,6.67,6.66,6.66,500,3332.0
1688699700,6.66,6.67,6.66,6.66,11100,73961.0
1688699760,6.66,6.66,6.65,6.66,19800,131848.0
1688699820,6.66,6.66,6.65,6.66,4700,31284.0
1688699880,6.66,6.66,6.65,6.66,29200,194456.0
1688699940,6.66,6.67,6.66,6.67,3400,22656.0
1688700000,6.66,6.67,6.66,6.66,14100,93912.0
1688700060,6.66,6.66,6.65,6.66,18700,124539.0
1688700120,6.67,6.67,6.66,6.67,2700,17995.0
1688700180,6.67,6.67,6.67,6.67,0,0.0
1688700240,6.66,6.67,6.66,6.66,122800,818852.0
1688700300,6.66,6.67,6.66,6.67,4400,29306.0
1688700360,6.67,6.67,6.66,6.67,6700,44679.0
1688700420,6.67,6.67,6.66,6.66,3600,23977.0
1688700480,6.66,6.67,6.66,6.67,2000,13325.0
1688700540,6.67,6.67,6.66,6.66,5200,34670.0
1688700600,6.67,6.67,6.66,6.66,13700,91268.0
1688706060,6.66,6.67,6.65,6.65,60061,399996.26000000164
1688706120,6.65,6.66,6.65,6.65,2000,13310.0
1688706180,6.65,6.66,6.65,6.65,3900,25960.0
1688706240,6.66,6.66,6.65,6.65,6700,44568.0
1688706300,6.65,6.66,6.65,6.65,22200,147631.0
1688706360,6.66,6.66,6.64,6.65,92100,612477.0
1688706420,6.65,6.65,6.64,6.65,5100,33897.0
1688706480,6.64,6.66,6.64,6.65,6600,43942.0
1688706540,6.66,6.66,6.65,6.66,8800,58591.0
1688706600,6.66,6.67,6.66,6.66,14300,95268.0
1688706660,6.66,6.67,6.66,6.66,7300,48624.0
1688706720,6.66,6.67,6.66,6.67,16700,111325.0
1688706780,6.67,6.67,6.66,6.67,33300,222077.0
1688706840,6.67,6.68,6.67,6.68,15000,100094.0
1688706900,6.68,6.68,6.67,6.68,246300,1645225.0
1688706960,6.68,6.7,6.68,6.7,291000,1949670.0
1688707020,6.69,6.71,6.69,6.71,288600,1935948.0
1688707080,6.71,6.73,6.71,6.72,281800,1892962.0
1688707140,6.72,6.73,6.72,6.73,175970,1184061.1000000015
1688707200,6.73,6.75,6.73,6.75,193000,1300894.0
1688707260,6.75,6.75,6.74,6.75,327100,2207432.0
1688707320,6.75,6.77,6.75,6.77,169100,1142925.0
1688707380,6.77,6.78,6.76,6.78,292200,1978186.0
1688707440,6.78,6.78,6.76,6.76,169970,1151265.6000000015
